"abbpop","orange","orange_yellow","white","yellow","totalN","freqO","freqW","freqY","freqOY","morph_no","Latitude","Longitude","lineage","Source","Green","sample_sizeG","black","sample_sizeB","fixed_brown","Notes"
"AC",0,0,24,0,24,0,1,0,0,1,42.4806985,12.573595,"IT","Feiner_Uller",6.6,15,0.415855469209771,15,NA,NA
"AL",3,0,26,1,30,0.1,0.866666666666667,0.0333333333333333,0,3,44.322488,10.25085,"Hybrid","Feiner_Uller",3.30769230769231,13,0.358461538461538,13,NA,NA
"AR",0,0,27,0,27,0,1,0,0,1,44.0681819,10.2493919,"Hybrid","Feiner_Uller",2.61538461538462,13,0.329033862878317,13,NA,NA
"AS",7,0,18,2,27,0.259259259259259,0.666666666666667,0.0740740740740741,0,3,42.414384,13.509014,"IT","Feiner_Uller",1.15384615384615,13,0.262045790819999,13,NA,NA
"ASS",1,0,25,0,26,0.0384615384615385,0.961538461538462,0,0,2,42.8813103,11.6739392,"IT","Feiner_Uller",6.46153846153846,13,0.377692307692308,13,NA,NA
"AZ",0,0,73,0,73,0,1,0,0,1,41.732348,12.666516,"IT","Feiner_Uller",9.2,35,0.63,35,NA,NA
"BD",2,0,22,4,28,0.0714285714285714,0.785714285714286,0.142857142857143,0,3,44.633456,9.731405,"SA","Feiner_Uller",1.94444444444444,18,0.291111111111111,18,NA,NA
"BE",0,0,26,0,26,0,1,0,0,1,43.716831,12.376136,"IT","Feiner_Uller",3.33333333333333,15,0.331586199538249,15,NA,NA
"BF",2,0,16,8,26,0.0769230769230769,0.615384615384615,0.307692307692308,0,3,44.813479,9.041028,"SA","Feiner_Uller",1.53846153846154,13,0.213076923076923,13,NA,NA
"BG",2,0,18,1,21,0.0952380952380952,0.857142857142857,0.0476190476190476,0,3,45.80208,11.71101,NA,"Feiner_Uller",1.46666666666667,15,0.283971428571429,15,NA,NA
"BI",0,0,24,0,24,0,1,0,0,1,43.695366,11.82005,"IT","Feiner_Uller",4.66666666666667,12,0.382280265378578,12,NA,NA
"BL",0,0,24,1,25,0,0.96,0.04,0,2,43.709995,12.181325,"IT","Feiner_Uller",2.75,16,0.256598975908519,16,NA,NA
"BLI",0,0,22,0,22,0,1,0,0,1,44.3945,9.3788,"SA","Feiner_Uller",7.33333333333333,15,0.300845013796403,15,NA,NA
"BO",0,0,28,1,29,0,0.96551724137931,0.0344827586206897,0,2,44.454063,9.84805,"SA","Feiner_Uller",4.41176470588235,17,0.317058823529412,17,NA,NA
"BP",0,0,22,1,23,0,0.956521739130435,0.0434782608695652,0,2,45.09714,11.49063,NA,"Feiner_Uller",1.63636363636364,11,0.162554545454545,11,NA,NA
"BT",0,0,41,0,41,0,1,0,0,1,43.72659,10.58541,"IT","Feiner_Uller",8.125,24,0.529370833333333,24,NA,NA
"BV",2,0,20,0,22,0.0909090909090909,0.909090909090909,0,0,2,45.41062,11.53904,NA,"Feiner_Uller",1.92307692307692,13,0.432,13,NA,NA
"BVN",0,0,24,0,24,0,1,0,0,1,44.4567592,9.4259503,"SA","Feiner_Uller",7.38461538461539,13,0.350979311795047,13,NA,NA
"BZ",0,0,28,1,29,0,0.96551724137931,0.0344827586206897,0,2,44.42015,9.389512,"SA","Feiner_Uller",5.73333333333333,15,0.210666666666667,15,NA,NA
"CA",0,0,49,0,49,0,1,0,0,1,43.7219,10.52198,"IT","Feiner_Uller",8.33333333333333,30,0.607,30,NA,NA
"CDM",0,0,22,0,22,0,1,0,0,1,42.2085,12.8409,"IT","Feiner_Uller",7,17,0.313856481273768,17,NA,NA
"CE",0,0,31,0,31,0,1,0,0,1,44.73153,11.29081,"Hybrid","Feiner_Uller",5.33333333333333,15,0.442046666666667,15,NA,NA
"CHI",0,0,22,0,22,0,1,0,0,1,44.31771,9.32241,"SA","Feiner_Uller",6.92307692307692,13,0.276532651658421,13,NA,NA
"CL",0,0,11,0,11,0,1,0,0,1,43.605763,10.96971,"IT","Feiner_Uller",8.83333333333333,6,0.506666666666667,6,NA,NA
"CLN",0,0,22,0,22,0,1,0,0,1,42.2456,12.8178,"IT","Feiner_Uller",7.22222222222222,9,0.392750342104933,9,NA,NA
"CM",0,0,23,0,23,0,1,0,0,1,41.381766,13.53383,"IT","Feiner_Uller",7.36363636363636,11,0.442444444444444,11,NA,NA
"CN",0,0,48,0,48,0,1,0,0,1,43.48423,10.64247,"IT","Feiner_Uller",7.77777777777778,36,0.443076923076923,36,NA,NA
"COL",0,0,24,0,24,0,1,0,0,1,44.1118614063,10.3667339367,"Hybrid","Feiner_Uller",5.58823529411765,17,0.365927136275391,17,NA,NA
"COR",0,0,26,0,26,0,1,0,0,1,42.7032536,12.2276115,"IT","Feiner_Uller",7.7,10,0.32402,10,NA,NA
"CP",0,2,9,13,24,0,0.375,0.541666666666667,0.0833333333333333,2,44.8634,8.55294,"SA","Feiner_Uller",1.05882352941176,17,0.188235294117647,17,"Y",NA
"CR",0,0,21,0,21,0,1,0,0,1,43.57478,10.56486,"IT","Feiner_Uller",8.8,15,0.473076923076923,15,NA,NA
"CSA",0,0,25,0,25,0,1,0,0,1,43.9979644,10.2538787,"Hybrid","Feiner_Uller",7.57142857142857,14,0.447486527203622,14,NA,NA
"CT",2,0,22,2,26,0.0769230769230769,0.846153846153846,0.0769230769230769,0,3,44.51326,10.73318,"Hybrid","Feiner_Uller",3.78947368421053,19,0.305678947368421,19,NA,NA
"CTG",0,0,23,0,23,0,1,0,0,1,44.4389666666666,9.41163055555555,"SA","Feiner_Uller",7.94444444444444,18,0.308366598308556,18,NA,NA
"CV",0,0,18,0,18,0,1,0,0,1,43.698056,11.936044,"IT","Feiner_Uller",3.42857142857143,7,0.275314285714286,7,NA,NA
"CX",3,0,18,1,22,0.136363636363636,0.818181818181818,0.0454545454545455,0,3,44.533056,10.340833,"Hybrid","Feiner_Uller",3.33333333333333,12,0.244166666666667,12,NA,NA
"DR",9,0,20,2,31,0.290322580645161,0.645161290322581,0.0645161290322581,0,3,42.3308764,13.3763542,"IT","Feiner_Uller",1.21,14,0.21,14,NA,NA
"DS",11,1,44,2,58,0.189655172413793,0.758620689655172,0.0344827586206897,0.0172413793103448,3,42.346759,13.291713,"IT","Feiner_Uller",1.26666666666667,31,0.170923629163866,31,NA,NA
"FDM",0,0,22,0,22,0,1,0,0,1,43.958,10.1673,"Hybrid","Feiner_Uller",6.5,16,0.351376269872004,16,NA,NA
"FG",21,0,31,1,53,0.39622641509434,0.584905660377358,0.0188679245283019,0,3,42.278601,13.188891,"IT","Feiner_Uller",2.08333333333333,24,0.228815624219722,24,NA,NA
