"abbpop","orange","orange_yellow","white","yellow","totalN","freqO","freqW","freqY","freqOY","morph_no","Latitude","Longitude","Green","sample_sizeG","black","sample_sizeB","lineage"
"AC",0,0,24,0,24,0,1,0,0,1,42.4806985,12.573595,6.6,15,0.415855469209771,15,"IT"
"AL",3,0,26,1,30,0.1,0.866666666666667,0.0333333333333333,0,3,44.322488,10.25085,3.30769230769231,13,0.358461538461538,13,"Hybrid"
"AR",0,0,27,0,27,0,1,0,0,1,44.0681819,10.2493919,2.61538461538462,13,0.329033862878317,13,"Hybrid"
"AS",7,0,18,2,27,0.259259259259259,0.666666666666667,0.0740740740740741,0,3,42.414384,13.509014,1.15384615384615,13,0.262045790819999,13,"IT"
"ASS",1,0,25,0,26,0.0384615384615385,0.961538461538462,0,0,2,42.8813103,11.6739392,6.46153846153846,13,0.377692307692308,13,"IT"
"AZ",0,0,73,0,73,0,1,0,0,1,41.732348,12.666516,9.2,35,0.63,35,"IT"
"BD",2,0,22,4,28,0.0714285714285714,0.785714285714286,0.142857142857143,0,3,44.633456,9.731405,1.94444444444444,18,0.291111111111111,18,"SA"
"BE",0,0,26,0,26,0,1,0,0,1,43.716831,12.376136,3.33333333333333,15,0.331586199538249,15,"IT"
"BF",2,0,16,8,26,0.0769230769230769,0.615384615384615,0.307692307692308,0,3,44.813479,9.041028,1.53846153846154,13,0.213076923076923,13,"SA"
"BI",0,0,24,0,24,0,1,0,0,1,43.695366,11.82005,4.66666666666667,12,0.382280265378578,12,"IT"
"BL",0,0,24,1,25,0,0.96,0.04,0,2,43.709995,12.181325,2.75,16,0.256598975908519,16,"IT"
"BLI",0,0,22,0,22,0,1,0,0,1,44.3945,9.3788,7.33333333333333,15,0.300845013796403,15,"SA"
"BO",0,0,28,1,29,0,0.96551724137931,0.0344827586206897,0,2,44.454063,9.84805,4.41176470588235,17,0.317058823529412,17,"SA"
"BT",0,0,41,0,41,0,1,0,0,1,43.72659,10.58541,8.125,24,0.529370833333333,24,"IT"
"BVN",0,0,24,0,24,0,1,0,0,1,44.4567592,9.4259503,7.38461538461539,13,0.350979311795047,13,"SA"
"BZ",0,0,28,1,29,0,0.96551724137931,0.0344827586206897,0,2,44.42015,9.389512,5.73333333333333,15,0.210666666666667,15,"SA"
"CA",0,0,49,0,49,0,1,0,0,1,43.7219,10.52198,8.33333333333333,30,0.607,30,"IT"
"CDM",0,0,22,0,22,0,1,0,0,1,42.2085,12.8409,7,17,0.313856481273768,17,"IT"
"CE",0,0,31,0,31,0,1,0,0,1,44.73153,11.29081,5.33333333333333,15,0.442046666666667,15,"Hybrid"
"CHI",0,0,22,0,22,0,1,0,0,1,44.31771,9.32241,6.92307692307692,13,0.276532651658421,13,"SA"
"CL",0,0,11,0,11,0,1,0,0,1,43.605763,10.96971,8.83333333333333,6,0.506666666666667,6,"IT"
"CLN",0,0,22,0,22,0,1,0,0,1,42.2456,12.8178,7.22222222222222,9,0.392750342104933,9,"IT"
"CM",0,0,23,0,23,0,1,0,0,1,41.381766,13.53383,7.36363636363636,11,0.442444444444444,11,"IT"
"CN",0,0,48,0,48,0,1,0,0,1,43.48423,10.64247,7.77777777777778,36,0.443076923076923,36,"IT"
"COL",0,0,24,0,24,0,1,0,0,1,44.1118614063,10.3667339367,5.58823529411765,17,0.365927136275391,17,"Hybrid"
"COR",0,0,26,0,26,0,1,0,0,1,42.7032536,12.2276115,7.7,10,0.32402,10,"IT"
"CP",0,2,9,13,24,0,0.375,0.541666666666667,0.0833333333333333,2,44.8634,8.55294,1.05882352941176,17,0.188235294117647,17,"SA"
"CR",0,0,21,0,21,0,1,0,0,1,43.57478,10.56486,8.8,15,0.473076923076923,15,"IT"
