chr	windowStart	windowEnd	D	f_d	f_dM	d_f
CM014754.1	41273	57728	-0.427150	-0.116744	-0.093572	-0.241694
CM014754.1	50018	87313	-0.254349	-0.132551	-0.074827	-0.121833
CM014754.1	57770	94108	-0.016034	-0.014253	-0.004211	-0.003933
CM014754.1	87450	113834	-0.044121	-0.050612	-0.010379	-0.024100
CM014754.1	94222	127276	-0.053626	-0.058096	-0.021898	-0.040825
CM014754.1	113891	130716	-0.071657	-0.082855	-0.031899	-0.028961
CM014754.1	127291	152612	-0.024135	-0.042727	-0.010547	-0.002443
CM014754.1	130755	178796	0.106613	0.128213	0.057805	0.035069
CM014754.1	152855	212595	0.184529	0.175498	0.080053	0.075713
CM014754.1	178885	218299	0.156247	0.129898	0.050010	0.060168
CM014754.1	212605	225988	0.176936	0.080859	0.038997	0.045698
CM014754.1	218359	233533	0.160917	0.077882	0.038363	0.028137
CM014754.1	226109	238778	0.046823	0.060238	0.021206	0.003818
CM014754.1	233596	247581	0.054288	0.093806	0.024044	0.012638
CM014754.1	239164	258957	-0.069312	-0.060055	-0.021560	-0.018753
CM014754.1	247957	266642	-0.086167	-0.064540	-0.026797	-0.021401
CM014754.1	259029	278395	-0.121483	-0.072945	-0.037561	-0.030971
CM014754.1	266906	285524	-0.024271	-0.011825	-0.007011	-0.004554
CM014754.1	278487	294731	0.127039	0.091546	0.039959	0.011210
CM014754.1	285554	302667	0.008510	0.008112	0.002723	0.000480
CM014754.1	295778	310711	-0.018318	-0.033472	-0.006969	-0.002773
CM014754.1	302691	317971	0.046902	0.045131	0.019023	0.006076
CM014754.1	310753	334473	0.039177	0.032820	0.011899	0.010569
CM014754.1	318065	343801	-0.008845	-0.008023	-0.002231	0.005689
CM014754.1	334800	352448	-0.002365	-0.002312	-0.000881	0.002513
CM014754.1	343906	358274	-0.142059	-0.157928	-0.063381	-0.033614
CM014754.1	352545	365790	-0.127368	-0.153869	-0.069981	-0.038486
CM014754.1	358380	372575	-0.010757	-0.013983	-0.007837	-0.004079
CM014754.1	365872	378925	0.013541	0.014053	0.008030	0.004235
CM014754.1	372716	387769	-0.037433	-0.045433	-0.012554	-0.007688
CM014754.1	378934	396017	-0.039261	-0.141482	-0.011180	-0.005497
CM014754.1	387791	405811	0.014921	0.018959	0.005721	-0.000608
CM014754.1	396032	411602	0.004367	0.004372	0.001938	-0.004117
CM014754.1	405844	425504	0.010203	0.024496	0.004962	-0.000597
CM014754.1	411800	446461	-0.018651	-0.061505	-0.011423	-0.008372
CM014754.1	425596	498518	-0.090917	-0.125574	-0.048902	-0.027314
CM014754.1	446475	514197	0.017074	0.013939	0.005783	-0.001654
CM014754.1	498735	522618	0.198047	0.106073	0.049888	0.033800
CM014754.1	514443	530365	0.096449	0.065540	0.021290	0.022224
CM014754.1	522696	570830	-0.018358	-0.022084	-0.005352	-0.003155
CM014754.1	530740	577016	-0.148126	-0.311604	-0.067803	-0.035628
CM014754.1	571196	585956	-0.148683	-0.539275	-0.064761	-0.032695
CM014754.1	577080	596839	-0.055240	-0.176102	-0.017500	-0.007822
CM014754.1	586142	604692	-0.035786	-0.100978	-0.012119	-0.004677
CM014754.1	596903	614240	0.121433	0.124296	0.042320	0.040252
CM014754.1	604783	620215	0.183054	0.200365	0.065248	0.082038
CM014754.1	614305	629811	-0.064039	-0.115825	-0.026234	-0.000672
CM014754.1	620286	636731	-0.117415	-0.292544	-0.049605	-0.025675
CM014754.1	629820	640515	0.057563	0.157878	0.030982	0.020608
CM014754.1	636855	652108	0.020271	0.031868	0.011348	0.012011
CM014754.1	640865	658808	-0.179850	-0.447090	-0.066394	-0.049282
CM014754.1	652170	667881	-0.144438	-0.454707	-0.061069	-0.039585
CM014754.1	658812	685660	-0.052396	-0.082741	-0.027142	-0.013317
CM014754.1	668259	689230	-0.062433	-0.196519	-0.049859	-0.019305
CM014754.1	685714	694142	0.017591	0.086828	0.018227	0.002681
CM014754.1	689312	698790	-0.016239	-0.057503	-0.009712	0.004596
CM014754.1	694466	708607	-0.109365	-0.866874	-0.026992	-0.017043
CM014754.1	699054	716291	0.005476	0.014290	0.000910	0.007634
CM014754.1	708663	722765	-0.001844	-0.003098	-0.000525	0.003756
CM014754.1	716338	730924	-0.060579	-0.101320	-0.025107	-0.017733
CM014754.1	722813	739681	-0.049185	-0.052188	-0.019202	-0.013362
CM014754.1	730987	747205	-0.025015	-0.024682	-0.010659	-0.006406
CM014754.1	739853	755231	0.109860	0.136425	0.058450	0.024103
CM014754.1	747462	759718	0.118164	0.121505	0.056074	0.023680
CM014754.1	755389	768133	0.105519	0.075389	0.042783	0.030341
CM014754.1	759733	774365	0.142304	0.113738	0.047889	0.039444
CM014754.1	768150	782787	0.203728	0.235791	0.069723	0.061781
CM014754.1	774385	791254	0.097027	0.206118	0.036252	0.035369
CM014754.1	782835	795268	-0.049716	-0.150910	-0.021161	-0.002345
CM014754.1	791556	800961	-0.110422	-0.247830	-0.073042	-0.025896
CM014754.1	795278	808163	-0.059863	-0.121557	-0.030387	-0.016278
CM014754.1	801161	815815	0.156081	0.195637	0.063236	0.031577
CM014754.1	808510	827989	0.043701	0.065383	0.015325	0.004379
CM014754.1	815878	836000	-0.097836	-1.406618	-0.024736	-0.011165
CM014754.1	828009	853790	-0.066007	-0.100705	-0.012416	-0.009598
CM014754.1	837792	866109	0.058438	0.041338	0.013183	0.020621
CM014754.1	853851	874330	0.029395	0.022204	0.009348	0.016989
CM014754.1	866155	882237	-0.014352	-0.008648	-0.004316	-0.008119
CM014754.1	874388	892422	0.095355	0.045420	0.024049	0.023935
CM014754.1	882446	899935	-0.084677	-0.058710	-0.026027	-0.017373
CM014754.1	892630	910426	-0.162465	-0.160053	-0.051117	-0.035997
CM014754.1	900478	918812	-0.006700	-0.005073	-0.001823	0.001097
CM014754.1	910584	925503	-0.006907	-0.006041	-0.002802	-0.000552
CM014754.1	919004	934796	-0.028631	-0.031388	-0.013729	-0.006161
CM014754.1	925749	948959	0.046566	0.045549	0.020174	0.008055
CM014754.1	934884	956144	-0.050391	-0.065221	-0.024011	-0.008810
CM014754.1	949166	965883	-0.118520	-0.230059	-0.066843	-0.031229
CM014754.1	956178	977821	-0.003383	-0.003206	-0.001556	0.002621
CM014754.1	965915	988161	-0.029303	-0.033636	-0.009598	-0.001175
CM014754.1	978487	996194	-0.056008	-0.139154	-0.022031	-0.008780
CM014754.1	988394	1001761	0.004818	0.007354	0.002410	0.006010
CM014754.1	996327	1006462	-0.036604	-0.078860	-0.018956	-0.001633
CM014754.1	1001808	1015600	-0.062058	-0.074562	-0.023625	-0.008574
CM014754.1	1006553	1022229	0.007689	0.008199	0.002876	0.002044
CM014754.1	1015702	1030867	0.085006	0.053339	0.027714	0.017764
CM014754.1	1022254	1037732	0.106513	0.046822	0.024294	0.011665
CM014754.1	1031244	1048004	0.092153	0.052031	0.023596	0.008296
CM014754.1	1037817	1053297	0.036070	0.042392	0.015434	0.008032
CM014754.1	1048039	1062682	0.081036	0.116116	0.039753	0.032125
CM014754.1	1053424	1077224	0.124719	0.104547	0.053832	0.041463
CM014754.1	1062698	1102140	0.058410	0.061718	0.037675	0.010513
CM014754.1	1077241	1107310	0.208182	0.419240	0.268234	0.093395
CM014754.1	1102157	1111985	0.170452	0.352331	0.214785	0.072550
CM014754.1	1107511	1122669	-0.003808	-0.009561	-0.004680	-0.006169
CM014754.1	1112044	1137291	0.107999	0.111241	0.075590	0.040743
CM014754.1	1122766	1154196	0.022933	0.018748	0.010583	0.005174
CM014754.1	1137435	1201005	-0.131097	-0.380362	-0.118920	-0.042091
CM014754.1	1154256	1206321	-0.034570	-0.106673	-0.031396	-0.004346
CM014754.1	1201358	1211323	0.013257	0.028863	0.008448	0.007396
CM014754.1	1206413	1224205	0.005644	0.011363	0.004010	0.009938
