chr	windowStart	windowEnd	D	f_d	f_dM	d_f
CM014757.1	87494	157151	-0.011130	0.008173	-0.000403	0.001690
CM014757.1	124089	174708	-0.073917	0.037847	-0.003595	-0.008299
CM014757.1	157445	195248	-0.177776	0.117488	-0.014714	-0.011104
CM014757.1	175056	219158	0.036635	0.015018	0.002099	0.004382
CM014757.1	195361	231326	0.131831	0.044444	0.011684	0.023458
CM014757.1	219589	235495	0.017704	0.026044	0.005084	0.002249
CM014757.1	231628	246153	0.082672	0.115149	0.030869	0.008487
CM014757.1	235507	253624	0.080556	0.116791	0.025550	0.007013
CM014757.1	246218	259273	-0.161699	0.851444	-0.054819	-0.014940
CM014757.1	253644	267462	-0.207897	0.756395	-0.073309	-0.022038
CM014757.1	259524	274844	-0.083246	-0.122858	-0.019797	-0.004729
CM014757.1	267518	279817	-0.115119	-0.131464	-0.027480	-0.009065
CM014757.1	274964	285204	0.022667	0.024703	0.009652	0.005338
CM014757.1	279853	293748	0.033216	0.028176	0.011110	0.014727
CM014757.1	285322	301339	-0.003738	-0.003052	-0.000998	0.001603
CM014757.1	293876	311548	-0.031776	-0.031759	-0.011718	-0.005978
CM014757.1	301413	321773	-0.026133	-0.020091	-0.008109	-0.005575
CM014757.1	311622	331743	-0.058233	-0.046000	-0.014546	-0.012428
CM014757.1	321899	339326	-0.104808	-0.142710	-0.025862	-0.018437
CM014757.1	332130	349144	-0.103211	-0.242835	-0.021260	-0.011452
CM014757.1	339379	357364	-0.137371	-0.231961	-0.032725	-0.019472
CM014757.1	349957	369508	-0.055304	-0.056076	-0.018514	-0.015972
CM014757.1	357659	374057	-0.092526	-0.153505	-0.040872	-0.018880
CM014757.1	369822	383482	-0.170939	-0.333797	-0.072554	-0.033647
CM014757.1	374124	388832	-0.050872	-0.081135	-0.021017	-0.014966
CM014757.1	383549	396720	0.059659	0.095146	0.030710	0.009763
CM014757.1	388994	401907	-0.002192	-0.003411	-0.001301	-0.001837
CM014757.1	396733	408625	-0.021328	-0.037034	-0.011646	-0.004337
